item_names_list,sales
"Fuego salsa dip, mild, 200 ml | Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",2504
"Chio Dip Hot Cheese, 200 ml | Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",699
"Fuego guacamole dip, 200 ml | Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",494
"Yogurette Strawberry Yogurt Chocolate, 100 g | Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",484
"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g | Fuego salsa dip, hot, 200 ml",385
"Funny-Frisch Kettle Chips Salt & Vinegar, 120 g | Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",363
"Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g | Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",355
"Funny-Frisch Lentil Crisps Paprika Style, 90 g | Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",344
"Funny-Frisch Riffels Natural, 150 g | Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",343
"Doritos Cheese Nachos, 110 g | Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",321
