log_item_id,item_key,valid_from,valid_to,is_current,brand_name,item_category,item_name_en,product_price_incl_vat,product_price_excl_vat,vat_rate_percent,currency,weight_grams,number_of_units,time_item_created_source_utc,load_time
441f25f065ea2a948861c426f7baad4d,1d9d7fc4e965863acf0b3ad8ff8b3074,2023-12-23 22:40:02.744+01,9999-12-31 00:00:00+01,true,,Crisp & Snacks,"Lisa's organic kettle chips sour cream & onion, 125 g",3.02,2.54,19, EUR,125,1,2022-11-22 09:07:41.12+01,2025-12-28 11:29:27.836877+01
c7feec64491cab242f0f740c9e3f03b8,b9ed451639de565e319543836d6bb64c,2022-12-26 11:00:00.444+01,2023-03-27 22:01:14.444+02,false,Storck,Other Confectionary,"Storck Super Dickmann’s Chocolate Kisses, (9x30 g), 270 g",2.4,2.02,19, EUR,250,1,2023-08-24 20:58:31.596+02,2025-12-28 11:29:27.836877+01
d30b92b5b9c44eb1f8b63b6b9223c7f5,b9ed451639de565e319543836d6bb64c,2023-03-27 22:01:14.444+02,2023-06-28 10:02:28.444+02,false,Storck,Other Confectionary,"Storck Super Dickmann’s Chocolate Kisses, (9x30 g), 270 g",2.4,2.02,19, EUR,250,1,2023-08-24 20:58:31.596+02,2025-12-28 11:29:27.836877+01
843e5132fcbbe72ea91ed5603a7e1c0d,b9ed451639de565e319543836d6bb64c,2023-06-28 10:02:28.444+02,2023-09-27 13:03:42.444+02,false,Storck,Other Confectionary,"Storck Super Dickmann’s Chocolate Kisses, (9x30 g), 270 g",2.4,2.02,19, EUR,250,1,2023-08-24 20:58:31.596+02,2025-12-28 11:29:27.836877+01
5e30f7649d137773d81cf49ceeb7b5d8,b9ed451639de565e319543836d6bb64c,2023-09-27 13:03:42.444+02,2023-12-30 05:04:56.444+01,false,Storck,Other Confectionary,"Storck Super Dickmann’s Chocolate Kisses, (9x30 g), 270 g",2.4,2.02,19, EUR,250,1,2023-08-24 20:58:31.596+02,2025-12-28 11:29:27.836877+01
fe43105c60b5ada617631488daffa396,b9ed451639de565e319543836d6bb64c,2023-12-30 05:04:56.444+01,9999-12-31 00:00:00+01,true,Storck,Other Confectionary,"Storck Super Dickmann’s Chocolate Kisses, (9x30 g), 270 g",2.41,2.03,19, EUR,250,1,2023-08-24 20:58:31.596+02,2025-12-28 11:29:27.836877+01
ad541a928aa480f78f0f6644b8a8418d,1d3842663f6e6e8ab20a245bc43b72a0,2022-12-29 11:59:59.124+01,2023-05-01 12:23:06.124+02,false,Knoppers,Chocolate,"Knoppers Crispy Wafer, (8x25 g), 200 g",2.42,2.03,19, EUR,200,1,2021-07-25 00:22:59.708+02,2025-12-28 11:29:27.836877+01
707372cb34d2996ca85d20a2c8bf1302,1d3842663f6e6e8ab20a245bc43b72a0,2023-05-01 12:23:06.124+02,2023-08-30 20:46:13.124+02,false,Knoppers,Chocolate,"Knoppers Crispy Wafer, (8x25 g), 200 g",2.42,2.03,19, EUR,200,1,2021-07-25 00:22:59.708+02,2025-12-28 11:29:27.836877+01
2f5631c3d421fd09ea3ee76ef60dafa5,1d3842663f6e6e8ab20a245bc43b72a0,2023-08-30 20:46:13.124+02,2023-12-30 23:09:20.124+01,false,Knoppers,Chocolate,"Knoppers Crispy Wafer, (8x25 g), 200 g",2.44,2.05,19, EUR,200,1,2021-07-25 00:22:59.708+02,2025-12-28 11:29:27.836877+01
b85dcfc4e4ba9dc88600415972421898,1d3842663f6e6e8ab20a245bc43b72a0,2023-12-30 23:09:20.124+01,9999-12-31 00:00:00+01,true,Knoppers,Chocolate,"Knoppers Crispy Wafer, (8x25 g), 200 g",2.48,2.08,19, EUR,200,1,2021-07-25 00:22:59.708+02,2025-12-28 11:29:27.836877+01
6cc950341347be99302cd9c9b0a35911,32fb026b53f98d91ba7d1221358ee3ac,2022-12-29 06:59:58.972+01,2023-03-30 22:29:02.972+02,false,Griesson,Cookies,"Griesson Soft Cake biscuits, cherry, 300 g",1.79,1.5,19, EUR,300,1,2023-10-03 15:14:32.224+02,2025-12-28 11:29:27.836877+01
8b5215e70f7b19298ffd68cd61b9bae0,32fb026b53f98d91ba7d1221358ee3ac,2023-03-30 22:29:02.972+02,2023-06-30 18:58:06.972+02,false,Griesson,Cookies,"Griesson Soft Cake biscuits, cherry, 300 g",1.79,1.5,19, EUR,300,1,2023-10-03 15:14:32.224+02,2025-12-28 11:29:27.836877+01
64b7da0f6dfbfd22c065bcb9562a66b1,32fb026b53f98d91ba7d1221358ee3ac,2023-06-30 18:58:06.972+02,2023-09-30 16:27:10.972+02,false,Griesson,Cookies,"Griesson Soft Cake biscuits, cherry, 300 g",1.8,1.51,19, EUR,300,1,2023-10-03 15:14:32.224+02,2025-12-28 11:29:27.836877+01
4e63878b47018d5a44dcb6b265db70bc,32fb026b53f98d91ba7d1221358ee3ac,2023-09-30 16:27:10.972+02,2023-12-30 18:56:14.972+01,false,Griesson,Cookies,"Griesson Soft Cake biscuits, cherry, 300 g",1.83,1.54,19, EUR,300,1,2023-10-03 15:14:32.224+02,2025-12-28 11:29:27.836877+01
a0f6acdd723e02f9cd4d04a2eecb150a,32fb026b53f98d91ba7d1221358ee3ac,2023-12-30 18:56:14.972+01,9999-12-31 00:00:00+01,true,Griesson,Cookies,"Griesson Soft Cake biscuits, cherry, 300 g",1.88,1.58,19, EUR,300,1,2023-10-03 15:14:32.224+02,2025-12-28 11:29:27.836877+01
73aa7e92ce3fe5a4bf445d8697871a8f,8848e81faf793f35004c01e760863f14,2022-12-21 11:00:04.184+01,2023-01-20 08:54:44.184+01,false,Giotto,"Toffee, Fudge & Nougat","Giotto Hazelnut Pastry, (4 bars), 154 g",3.16,2.66,19, EUR,154,1,2022-12-01 09:34:08.628+01,2025-12-28 11:29:27.836877+01
4d3bcd76b0e0263fe560a9fc15ae8d7b,8848e81faf793f35004c01e760863f14,2023-01-20 08:54:44.184+01,2023-02-19 10:49:24.184+01,false,Giotto,"Toffee, Fudge & Nougat","Giotto Hazelnut Pastry, (4 bars), 154 g",3.09,2.6,19, EUR,154,1,2022-12-01 09:34:08.628+01,2025-12-28 11:29:27.836877+01
2bdc3cc99026df053aaab6db3272f59d,8848e81faf793f35004c01e760863f14,2023-02-19 10:49:24.184+01,2023-03-21 04:44:04.184+01,false,Giotto,"Toffee, Fudge & Nougat","Giotto Hazelnut Pastry, (4 bars), 154 g",3.13,2.63,19, EUR,154,1,2022-12-01 09:34:08.628+01,2025-12-28 11:29:27.836877+01
f9122c6208a3f62cc5f1eba3c335066f,8848e81faf793f35004c01e760863f14,2023-03-21 04:44:04.184+01,2023-04-20 12:38:44.184+02,false,Giotto,"Toffee, Fudge & Nougat","Giotto Hazelnut Pastry, (4 bars), 154 g",3.14,2.64,19, EUR,154,1,2022-12-01 09:34:08.628+01,2025-12-28 11:29:27.836877+01
2bc60b27ab6003f3b20eb8b62e3378e7,8848e81faf793f35004c01e760863f14,2023-04-20 12:38:44.184+02,2023-05-20 23:33:24.184+02,false,Giotto,"Toffee, Fudge & Nougat","Giotto Hazelnut Pastry, (4 bars), 154 g",3.19,2.68,19, EUR,154,1,2022-12-01 09:34:08.628+01,2025-12-28 11:29:27.836877+01
246315aa35b05a7c08d8c2155205615d,8848e81faf793f35004c01e760863f14,2023-05-20 23:33:24.184+02,2023-06-20 15:28:04.184+02,false,Giotto,"Toffee, Fudge & Nougat","Giotto Hazelnut Pastry, (4 bars), 154 g",3.21,2.7,19, EUR,154,1,2022-12-01 09:34:08.628+01,2025-12-28 11:29:27.836877+01
