item_category,item_key,item_name_en,brand_name,year,quarter,month,month_name,season,revenue,revenue_before_discount,total_discount_amount,discount_percentage,quantity_sold,purchase_count,customer_count,avg_quantity_per_purchase,revenue_per_unit,revenue_per_customer,quantity_on_promotion,revenue_on_promotion,purchases_with_promotion,promotion_quantity_percentage,promotion_revenue_percentage,promotion_purchase_percentage,avg_price,min_price,max_price,avg_base_price,revenue_previous_month,quantity_previous_month,customer_count_previous_month,revenue_growth_mom_pct,quantity_growth_mom_pct,customer_growth_mom_pct,revenue_till_date,quantity_till_date,customer_count_till_date,avg_monthly_revenue_till_date,avg_monthly_quantity_till_date,category_total_growth_pct,market_share_pct,revenue_percentile,growth_trend,performance_category,load_time
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",Fuego,2022,4,12,December,Winter,63.02,63.02,0.0,0.0,23,21,21,1.1,2.74,3.0,0,0.0,0,0.0,0.0,0.0,2.74,2.74,2.74,2.74,,,,,,,63.02,23,21,63.02,23.0,,46.06,1.0,New,New,2025-12-30 20:02:33.017625+01
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",Fuego,2023,1,1,January,Winter,1287.8,1287.8,0.0,0.0,470,410,292,1.15,2.74,4.41,0,0.0,0,0.0,0.0,0.0,2.74,2.74,2.74,2.74,63.020000000000024,23,21,1943.48,1943.48,1290.48,1350.82,493,313,675.41,246.5,1436.19,61.27,1.0,Accelerating,Star Product,2025-12-30 20:02:33.017625+01
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",Fuego,2023,1,2,February,Winter,1268.62,1268.62,0.0,0.0,463,393,274,1.18,2.74,4.63,0,0.0,0,0.0,0.0,0.0,2.74,2.74,2.74,2.74,1287.8000000000034,470,292,-1.49,-1.49,-6.16,2619.44,956,587,873.15,318.67,-4.71,63.34,1.0,Outperforming,Star Product,2025-12-30 20:02:33.017625+01
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",Fuego,2023,1,3,March,Spring,1803.54,1819.36,15.82,0.87,664,550,349,1.21,2.72,5.17,113,293.8,100,17.02,16.29,18.18,2.71,2.6,2.74,2.74,1268.6200000000035,463,274,42.17,43.41,27.37,4422.98,1620,936,1105.75,405.0,44.04,62.51,1.0,On Track,Anchor (Cash Cow),2025-12-30 20:02:33.017625+01
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",Fuego,2023,2,4,April,Spring,1587.78,1602.9,15.12,0.94,585,502,352,1.17,2.71,4.51,108,280.8,95,18.46,17.69,18.92,2.71,2.6,2.74,2.74,1803.5400000000013,664,349,-11.96,-11.9,0.86,6010.76,2205,1288,1202.15,441.0,-14.75,64.55,1.0,Outperforming,Star Product,2025-12-30 20:02:33.017625+01
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",Fuego,2023,2,5,May,Spring,1857.72,1857.72,0.0,0.0,678,565,359,1.2,2.74,5.17,0,0.0,0,0.0,0.0,0.0,2.74,2.74,2.74,2.74,1587.7800000000025,585,352,17.0,15.9,1.99,7868.48,2883,1647,1311.41,480.5,10.71,68.22,1.0,Outperforming,Star Product,2025-12-30 20:02:33.017625+01
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",Fuego,2023,2,6,June,Summer,1687.84,1687.84,0.0,0.0,616,531,323,1.16,2.74,5.23,0,0.0,0,0.0,0.0,0.0,2.74,2.74,2.74,2.74,1857.7200000000053,678,359,-9.14,-9.14,-10.03,9556.32,3499,1970,1365.19,499.86,-2.75,63.74,1.0,On Track,Anchor (Cash Cow),2025-12-30 20:02:33.017625+01
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",Fuego,2023,3,7,July,Summer,1561.8,1561.8,0.0,0.0,570,485,329,1.18,2.74,4.75,0,0.0,0,0.0,0.0,0.0,2.74,2.74,2.74,2.74,1687.8400000000047,616,323,-7.47,-7.47,1.86,11118.12,4069,2299,1389.77,508.63,-5.74,62.57,1.0,On Track,Anchor (Cash Cow),2025-12-30 20:02:33.017625+01
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",Fuego,2023,3,8,August,Summer,2153.64,2153.64,0.0,0.0,786,686,421,1.15,2.74,5.12,0,0.0,0,0.0,0.0,0.0,2.74,2.74,2.74,2.74,1561.8000000000043,570,329,37.89,37.89,27.96,13271.76,4855,2720,1474.64,539.44,36.69,63.12,1.0,Outperforming,Star Product,2025-12-30 20:02:33.017625+01
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",Fuego,2023,3,9,September,Fall,2570.12,2570.12,0.0,0.0,938,807,460,1.16,2.74,5.59,0,0.0,0,0.0,0.0,0.0,2.74,2.74,2.74,2.74,2153.640000000003,786,421,19.34,19.34,9.26,15841.88,5793,3180,1584.19,579.3,3.2,73.0,1.0,Accelerating,Star Product,2025-12-30 20:02:33.017625+01
